"ibge","municipio","latitude","longitude","cod_estado","estado","uf","regiao","capital"
520005,"Abadia de Goiás",-16.7573,-49.4412,52,"Goiás","GO","Centro-Oeste",0
310010,"Abadia dos Dourados",-18.4831,-47.3916,31,"Minas Gerais","MG","Sudeste",0
520010,"Abadiânia",-16.197,-48.7057,52,"Goiás","GO","Centro-Oeste",0
310020,"Abaeté",-19.1551,-45.4444,31,"Minas Gerais","MG","Sudeste",0
150010,"Abaetetuba",-1.72183,-48.8788,15,"Pará","PA","Norte",0
230010,"Abaiara",-7.34588,-39.0416,23,"Ceará","CE","Nordeste",0
290010,"Abaíra",-13.2488,-41.6619,29,"Bahia","BA","Nordeste",0
290020,"Abaré",-8.72073,-39.1162,29,"Bahia","BA","Nordeste",0
410010,"Abatiá",-23.3049,-50.3133,41,"Paraná","PR","Sul",0
420005,"Abdon Batista",-27.6126,-51.0233,42,"Santa Catarina","SC","Sul",0
150013,"Abel Figueiredo",-4.95333,-48.3933,15,"Pará","PA","Norte",0
420010,"Abelardo Luz",-26.5716,-52.3229,42,"Santa Catarina","SC","Sul",0
310030,"Abre Campo",-20.2996,-42.4743,31,"Minas Gerais","MG","Sudeste",0
260005,"Abreu e Lima",-7.90072,-34.8984,26,"Pernambuco","PE","Nordeste",0
170025,"Abreulândia",-9.62101,-49.1518,17,"Tocantins","TO","Norte",0
310040,"Acaiaca",-20.359,-43.1439,31,"Minas Gerais","MG","Sudeste",0
210005,"Açailândia",-4.94714,-47.5004,21,"Maranhão","MA","Nordeste",0
290030,"Acajutiba",-11.6575,-38.0197,29,"Bahia","BA","Nordeste",0
150020,"Acará",-1.95383,-48.1985,15,"Pará","PA","Norte",0
230015,"Acarape",-4.22083,-38.7055,23,"Ceará","CE","Nordeste",0
230020,"Acaraú",-2.88769,-40.1183,23,"Ceará","CE","Nordeste",0
240010,"Acari",-6.4282,-36.6347,24,"Rio Grande do Norte","RN","Nordeste",0
220005,"Acauã",-8.21954,-41.0831,22,"Piauí","PI","Nordeste",0
430003,"Aceguá",-31.8665,-54.1615,43,"Rio Grande do Sul","RS","Sul",0
230030,"Acopiara",-6.08911,-39.448,23,"Ceará","CE","Nordeste",0
510010,"Acorizal",-15.194,-56.3632,51,"Mato Grosso","MT","Centro-Oeste",0
120001,"Acrelândia",-9.82581,-66.8972,12,"Acre","AC","Norte",0
520013,"Acreúna",-17.396,-50.3749,52,"Goiás","GO","Centro-Oeste",0
240020,"Açu",-5.58362,-36.914,24,"Rio Grande do Norte","RN","Nordeste",0
310050,"Açucena",-19.0671,-42.5419,31,"Minas Gerais","MG","Sudeste",0
350010,"Adamantina",-21.682,-51.0737,35,"São Paulo","SP","Sudeste",0
520015,"Adelândia",-16.4127,-50.1657,52,"Goiás","GO","Centro-Oeste",0
350020,"Adolfo",-21.2325,-49.6451,35,"São Paulo","SP","Sudeste",0
410020,"Adrianópolis",-24.6606,-48.9922,41,"Paraná","PR","Sul",0
290035,"Adustina",-10.5437,-38.1113,29,"Bahia","BA","Nordeste",0
260010,"Afogados da Ingazeira",-7.74312,-37.631,26,"Pernambuco","PE","Nordeste",0
240030,"Afonso Bezerra",-5.49229,-36.5075,24,"Rio Grande do Norte","RN","Nordeste",0
320010,"Afonso Cláudio",-20.0778,-41.1261,32,"Espírito Santo","ES","Sudeste",0
210010,"Afonso Cunha",-4.13631,-43.3275,21,"Maranhão","MA","Nordeste",0
260020,"Afrânio",-8.51136,-41.0095,26,"Pernambuco","PE","Nordeste",0
150030,"Afuá",-0.154874,-50.3861,15,"Pará","PA","Norte",0
260030,"Agrestina",-8.45966,-35.9447,26,"Pernambuco","PE","Nordeste",0
220010,"Agricolândia",-5.79676,-42.6664,22,"Piauí","PI","Nordeste",0
420020,"Agrolândia",-27.4087,-49.822,42,"Santa Catarina","SC","Sul",0
420030,"Agronômica",-27.2662,-49.708,42,"Santa Catarina","SC","Sul",0
150034,"Água Azul do Norte",-6.79053,-50.4791,15,"Pará","PA","Norte",0
310060,"Água Boa",-17.9914,-42.3806,31,"Minas Gerais","MG","Sudeste",0
510020,"Água Boa",-14.051,-52.1601,51,"Mato Grosso","MT","Centro-Oeste",0
220020,"Água Branca",-5.88856,-42.637,22,"Piauí","PI","Nordeste",0
250010,"Água Branca",-7.51144,-37.6357,25,"Paraíba","PB","Nordeste",0
270010,"Água Branca",-9.262,-37.938,27,"Alagoas","AL","Nordeste",0
500020,"Água Clara",-20.4452,-52.879,50,"Mato Grosso do Sul","MS","Centro-Oeste",0
310070,"Água Comprida",-20.0576,-48.1069,31,"Minas Gerais","MG","Sudeste",0
420040,"Água Doce",-26.9985,-51.5528,42,"Santa Catarina","SC","Sul",0
210015,"Água Doce do Maranhão",-2.84048,-42.1189,21,"Maranhão","MA","Nordeste",0
320016,"Água Doce do Norte",-18.5482,-40.9854,32,"Espírito Santo","ES","Sudeste",0
290040,"Água Fria",-11.8618,-38.7639,29,"Bahia","BA","Nordeste",0
520017,"Água Fria de Goiás",-14.9778,-47.7823,52,"Goiás","GO","Centro-Oeste",0
520020,"Água Limpa",-18.0771,-48.7603,52,"Goiás","GO","Centro-Oeste",0
240040,"Água Nova",-6.20351,-38.2941,24,"Rio Grande do Norte","RN","Nordeste",0
260040,"Água Preta",-8.70609,-35.5263,26,"Pernambuco","PE","Nordeste",0
430005,"Água Santa",-28.1672,-52.031,43,"Rio Grande do Sul","RS","Sul",0
350030,"Aguaí",-22.0572,-46.9735,35,"São Paulo","SP","Sudeste",0
310080,"Aguanil",-20.9439,-45.3915,31,"Minas Gerais","MG","Sudeste",0
260050,"Águas Belas",-9.11125,-37.1226,26,"Pernambuco","PE","Nordeste",0
350040,"Águas da Prata",-21.9319,-46.7176,35,"São Paulo","SP","Sudeste",0
420050,"Águas de Chapecó",-27.0754,-52.9808,42,"Santa Catarina","SC","Sul",0
350050,"Águas de Lindóia",-22.4733,-46.6314,35,"São Paulo","SP","Sudeste",0
350055,"Águas de Santa Bárbara",-22.8812,-49.2421,35,"São Paulo","SP","Sudeste",0
350060,"Águas de São Pedro",-22.5977,-47.8734,35,"São Paulo","SP","Sudeste",0
310090,"Águas Formosas",-17.0802,-40.9384,31,"Minas Gerais","MG","Sudeste",0
420055,"Águas Frias",-26.8794,-52.8568,42,"Santa Catarina","SC","Sul",0
520025,"Águas Lindas de Goiás",-15.7617,-48.2816,52,"Goiás","GO","Centro-Oeste",0
420060,"Águas Mornas",-27.6963,-48.8243,42,"Santa Catarina","SC","Sul",0
310100,"Águas Vermelhas",-15.7431,-41.4571,31,"Minas Gerais","MG","Sudeste",0
430010,"Agudo",-29.6447,-53.2515,43,"Rio Grande do Sul","RS","Sul",0
350070,"Agudos",-22.4694,-48.9863,35,"São Paulo","SP","Sudeste",0
410030,"Agudos do Sul",-25.9899,-49.3343,41,"Paraná","PR","Sul",0
