,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
913776,Rio de Janeiro,3304557.0,2020-03-06,202010,6747815.0,6718903.0,False,False,1,0.01482,2020-03-06,0.0,0,1,city,RJ,1,0
913779,Rio de Janeiro,3304557.0,2020-03-07,202010,6747815.0,6718903.0,False,True,1,0.01482,2020-03-06,0.0,0,2,city,RJ,0,0
913782,Rio de Janeiro,3304557.0,2020-03-08,202011,6747815.0,6718903.0,False,False,2,0.02964,2020-03-08,0.0,0,3,city,RJ,1,0
913785,Rio de Janeiro,3304557.0,2020-03-09,202011,6747815.0,6718903.0,False,True,2,0.02964,2020-03-08,0.0,0,4,city,RJ,0,0
913788,Rio de Janeiro,3304557.0,2020-03-10,202011,6747815.0,6718903.0,False,True,2,0.02964,2020-03-08,0.0,0,5,city,RJ,0,0
913791,Rio de Janeiro,3304557.0,2020-03-11,202011,6747815.0,6718903.0,False,True,2,0.02964,2020-03-08,0.0,0,6,city,RJ,0,0
913795,Rio de Janeiro,3304557.0,2020-03-12,202011,6747815.0,6718903.0,False,False,13,0.19265,2020-03-12,0.0,0,7,city,RJ,11,0
913799,Rio de Janeiro,3304557.0,2020-03-13,202011,6747815.0,6718903.0,False,True,13,0.19265,2020-03-12,0.0,0,8,city,RJ,0,0
913803,Rio de Janeiro,3304557.0,2020-03-14,202011,6747815.0,6718903.0,False,True,13,0.19265,2020-03-12,0.0,0,9,city,RJ,0,0
913807,Rio de Janeiro,3304557.0,2020-03-15,202012,6747815.0,6718903.0,False,False,22,0.32603,2020-03-15,0.0,0,10,city,RJ,9,0
913811,Rio de Janeiro,3304557.0,2020-03-16,202012,6747815.0,6718903.0,False,False,23,0.34085,2020-03-16,0.0,0,11,city,RJ,1,0
913815,Rio de Janeiro,3304557.0,2020-03-17,202012,6747815.0,6718903.0,False,True,23,0.34085,2020-03-16,0.0,0,12,city,RJ,0,0
